User,User agent,Time range,Service,Application,Command,Status,Count,Usage (TSTUs),Delay (s)
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:45 PM - 5:50 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Framework","ConnectedServices.GetConnectedServices","Normal",1,0.006,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:45 PM - 5:50 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Web Access","ApiCommon.IdentityImage","Normal",1,0.006,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 6:00 PM - 6:05 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","DistributedTask","TaskAgentPools.GetAgentPool","Normal",3,0.005,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 6:00 PM - 6:05 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","DistributedTask","TaskAgents2.GetAgents","Normal",2,0.005,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:55 PM - 6:00 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Graph Profile","GraphProfileMemberAvatars.GetMemberAvatar","Normal",1,0.004,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 6:00 PM - 6:05 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Contribution","ContributionNodeQuery.QueryContributionNodes","Normal",1,0.004,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:55 PM - 6:00 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Web-Api","IdentityPickerIdentities.GetAvatar","Normal",1,0.004,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 6:00 PM - 6:05 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Settings","SettingEntries.SetEntries","Normal",1,0.003,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:55 PM - 6:00 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","DistributedTask","TaskAgentPools.GetAgentPool","Normal",2,0.003,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:45 PM - 5:50 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Extensions","ContributedFeatureStateQuery.QueryFeatureStatesForNamedScope","Normal",1,0.003,0.000
